episode,reward,length,chains_broken,chain_progressed,chains_completed,Value,Step,Wall time
1,0.0,1,1,0,0,,,
2,0.0,1,1,0,0,,,
3,0.0,2,1,0,0,,,
4,0.0,3,1,0,0,,,
5,-1.0,13,1,0,0,,,
6,-27.0,122,1,0,0,,,
7,-1.0,12,1,0,0,,,
8,-5.0,16,1,0,0,,,
9,0.0,7,1,0,0,,,
10,-3.0,28,1,0,0,,,
11,0.0,9,1,0,0,,,
12,0.0,3,1,0,0,,,
13,-1.0,10,1,0,0,,,
14,-5.0,13,1,0,0,,,
15,0.0,6,1,0,0,,,
16,0.0,9,1,0,0,,,
17,0.0,1,1,0,0,,,
18,0.0,1,1,0,0,,,
19,0.0,79,1,0,0,,,
20,-4.0,15,1,0,0,,,
21,0.0,19,1,0,0,,,
22,-7.0,40,1,0,0,,,
23,0.0,3,1,0,0,,,
24,0.0,1,1,0,0,,,
25,0.0,1,1,0,0,,,
26,0.0,3,1,0,0,,,
27,0.0,4,1,0,0,,,
28,0.0,17,1,0,0,,,
29,-1.0,13,1,0,0,,,
30,0.0,11,1,0,0,,,
31,0.0,1,1,0,0,,,
32,-1.0,12,1,0,0,,,
33,0.0,6,1,0,0,,,
34,-1.0,16,1,0,0,,,
35,0.0,4,1,0,0,,,
36,0.0,28,1,0,0,,,
37,0.0,11,1,0,0,,,
38,0.0,4,1,0,0,,,
39,0.0,7,1,0,0,,,
40,0.0,3,1,0,0,,,
41,0.0,5,1,0,0,,,
42,0.0,6,1,0,0,,,
43,-3.0,88,1,0,0,,,
44,0.0,7,1,0,0,,,
45,8.0,105,0,1,1,,,
46,0.0,1,1,0,0,,,
47,0.0,9,1,0,0,,,
48,0.0,2,1,0,0,,,
49,0.0,2,1,0,0,,,
50,0.0,6,1,0,0,,,
51,0.0,21,1,0,0,,,
52,0.0,23,1,0,0,,,
53,0.0,6,1,0,0,,,
54,0.0,19,1,0,0,,,
55,0.0,1,1,0,0,,,
56,0.0,1,1,0,0,,,
57,0.0,3,1,0,0,,,
58,0.0,1,1,0,0,,,
59,0.0,8,1,0,0,,,
60,0.0,25,1,0,0,,,
61,0.0,1,1,0,0,,,
62,0.0,10,1,0,0,,,
63,0.0,13,1,0,0,,,
64,0.0,1,1,0,0,,,
